Tick,RunF64,RunF32,RunI64,RunI32
M:37 N:9,8.42e-05,8.379e-05,8.1e-05,8.071e-05
M:37 N:10,9.586e-05,9.476e-05,9.157e-05,9.042e-05
M:37 N:11,0.00010394,0.00010242,9.851e-05,9.736e-05
M:37 N:12,0.0001118,0.00011016,0.00011745,0.00010613
M:37 N:13,0.0001193,0.00011801,0.00011586,0.00011447
M:37 N:14,0.00012706,0.00012757,0.00012506,0.00012297
M:37 N:15,0.0001389,0.00013867,0.00013477,0.0001314
M:37 N:16,0.00014758,0.00014564,0.00014094,0.00013938
M:37 N:17,0.00015381,0.00015102,0.00014883,0.00014802
M:37 N:18,0.0001672,0.00016335,0.0001632,0.00015652
M:37 N:19,0.00018073,0.00017843,0.00017522,0.00017416
M:37 N:20,0.00017973,0.00018464,0.0001841,0.00018574
M:37 N:21,0.00019486,0.00018791,0.00018416,0.00018234
M:37 N:22,0.00019643,0.00019595,0.00019675,0.00019401
M:37 N:23,0.00021157,0.00020719,0.0002007,0.00019842
M:37 N:24,0.00022244,0.00021294,0.0002191,0.00021645
M:37 N:25,0.00022245,0.00022365,0.00021596,0.00021725
M:37 N:26,0.00023694,0.00023203,0.00022523,0.00022247
M:37 N:27,0.00024562,0.0002377,0.00023353,0.00023092
M:37 N:28,0.00025745,0.00024873,0.00024074,0.00023829
M:37 N:29,0.00025685,0.00025578,0.00025535,0.00025387
M:37 N:30,0.00027447,0.00026405,0.00026016,0.0002561
M:37 N:31,0.00027879,0.00027305,0.00026899,0.00026699
M:37 N:32,0.00028618,0.00028124,0.00027931,0.00027469
M:37 N:33,0.00031381,0.0003061,0.00029377,0.00029318
M:37 N:34,0.000308,0.00030117,0.00030316,0.00028899
M:37 N:35,0.00031866,0.00030724,0.00030582,0.00030079
M:37 N:36,0.00032548,0.00031497,0.00032431,0.0003136
M:37 N:37,0.00033302,0.00032411,0.00031932,0.00031379
M:38 N:1,1.534e-05,1.527e-05,1.532e-05,1.696e-05
M:38 N:2,2.739e-05,2.576e-05,2.478e-05,2.57e-05
M:38 N:3,4.755e-05,3.546e-05,4.911e-05,3.465e-05
M:38 N:4,4.377e-05,4.457e-05,4.325e-05,4.126e-05
M:38 N:5,5.219e-05,5.52e-05,5.131e-05,5.162e-05
M:38 N:6,6.248e-05,6.256e-05,6.108e-05,5.843e-05
