Tick,RunF64
4,2e-08
8,2e-08
16,4e-08
32,9e-08
64,1.2e-07
128,2.7e-07
256,6.3e-07
512,1.24e-06
1024,3.16e-06
2048,8.18e-06
4096,2.333e-05
8192,5.315e-05
16384,0.00011477
32768,0.00027256
65536,0.00058903
131072,0.00140348
262144,0.00328776
