Tick,RunF64,RunF32,RunI64,RunI32
M:23 N:23,9.58e-06,1.102e-05,9.21e-06,1.017e-05
M:24 N:1,2.13e-06,2.23e-06,2.13e-06,2.48e-06
M:24 N:2,2.45e-06,2.4e-06,2.46e-06,2.77e-06
M:24 N:3,2.81e-06,3.33e-06,2.83e-06,3.17e-06
M:24 N:4,3.24e-06,3.73e-06,3.36e-06,3.91e-06
M:24 N:5,4.8e-06,4.19e-06,3.83e-06,3.78e-06
M:24 N:6,4.05e-06,4.54e-06,4.41e-06,4.62e-06
M:24 N:7,4.29e-06,5.26e-06,4.2e-06,4.78e-06
M:24 N:8,4.71e-06,6.23e-06,4.55e-06,5.42e-06
M:24 N:9,5.66e-06,6.05e-06,4.85e-06,5.27e-06
M:24 N:10,5.62e-06,6.6e-06,5.31e-06,5.73e-06
M:24 N:11,8.75e-06,6.9e-06,5.56e-06,6.27e-06
M:24 N:12,6.27e-06,7.35e-06,6.15e-06,6.66e-06
M:24 N:13,6.54e-06,7.77e-06,6.32e-06,6.99e-06
M:24 N:14,6.82e-06,8.08e-06,7.25e-06,7.27e-06
M:24 N:15,7.12e-06,8.66e-06,6.83e-06,7.66e-06
M:24 N:16,7.59e-06,8.81e-06,7.94e-06,8.01e-06
M:24 N:17,8e-06,9.38e-06,7.75e-06,8.46e-06
M:24 N:18,9.92e-06,9.58e-06,7.98e-06,8.77e-06
M:24 N:19,1.021e-05,1.144e-05,8.96e-06,9.26e-06
M:24 N:20,9.18e-06,1.027e-05,9.12e-06,9.4e-06
M:24 N:21,9.51e-06,1.082e-05,9.01e-06,1.004e-05
M:24 N:22,9.89e-06,1.106e-05,9.3e-06,1.029e-05
M:24 N:23,1.025e-05,1.264e-05,1.123e-05,1.073e-05
M:24 N:24,1.057e-05,1.193e-05,9.96e-06,1.106e-05
M:25 N:1,2.24e-06,2.16e-06,2.28e-06,2.45e-06
M:25 N:2,2.71e-06,2.79e-06,2.71e-06,3.09e-06
M:25 N:3,3.18e-06,3.84e-06,3.1e-06,3.55e-06
M:25 N:4,3.53e-06,4.18e-06,3.45e-06,4.41e-06
M:25 N:5,4.76e-06,4.95e-06,4.13e-06,4.4e-06
M:25 N:6,4.43e-06,5.09e-06,4.57e-06,4.83e-06
M:25 N:7,4.87e-06,6.45e-06,4.75e-06,5.32e-06
M:25 N:8,5.34e-06,6.51e-06,5.2e-06,5.73e-06
M:25 N:9,5.68e-06,7.01e-06,5.6e-06,6.12e-06
M:25 N:10,6.96e-06,7.43e-06,5.73e-06,6.62e-06
M:25 N:11,8.22e-06,8.34e-06,6.18e-06,6.46e-06
M:25 N:12,7.47e-06,8.36e-06,6.64e-06,7.41e-06
M:25 N:13,7.26e-06,8.75e-06,6.9e-06,7.81e-06
M:25 N:14,8.28e-06,9.15e-06,7.54e-06,8.27e-06
M:25 N:15,8.1e-06,9.58e-06,7.79e-06,8.72e-06
M:25 N:16,9.49e-06,1.003e-05,8.47e-06,9.81e-06
M:25 N:17,9e-06,1.054e-05,8.55e-06,9.5e-06
M:25 N:18,1.12e-05,1.346e-05,9.05e-06,1.014e-05
M:25 N:19,9.34e-06,1.051e-05,9.09e-06,9.59e-06
M:25 N:20,1.028e-05,1.175e-05,1.1e-05,1.073e-05
M:25 N:21,1.056e-05,1.229e-05,1.013e-05,1.12e-05
M:25 N:22,1.098e-05,1.289e-05,1.038e-05,1.155e-05
M:25 N:23,1.075e-05,1.203e-05,1.004e-05,1.11e-05
M:25 N:24,1.195e-05,1.387e-05,1.147e-05,1.3e-05
M:25 N:25,1.236e-05,1.392e-05,1.173e-05,1.325e-05
M:26 N:1,2.46e-06,2.37e-06,2.73e-06,2.8e-06
M:26 N:2,2.86e-06,2.94e-06,2.97e-06,3.3e-06
M:26 N:3,3.27e-06,3.99e-06,3.37e-06,3.7e-06
M:26 N:4,3.78e-06,4.46e-06,3.72e-06,4.27e-06
M:26 N:5,4.17e-06,5.25e-06,4.07e-06,4.69e-06
M:26 N:6,4.63e-06,5.33e-06,4.53e-06,5.19e-06
M:26 N:7,5.1e-06,6.04e-06,5.01e-06,5.31e-06
M:26 N:8,5.52e-06,6.61e-06,5.36e-06,5.78e-06
M:26 N:9,6.08e-06,7.24e-06,6.76e-06,6.22e-06
M:26 N:10,6.5e-06,7.5e-06,6.15e-06,6.7e-06
M:26 N:11,6.98e-06,8.31e-06,6.66e-06,7.44e-06
M:26 N:12,7.31e-06,8.73e-06,6.96e-06,8.06e-06
M:26 N:13,7.75e-06,9.19e-06,7.39e-06,8.37e-06
M:26 N:14,8.84e-06,9.76e-06,8.06e-06,9.07e-06
M:26 N:15,8.74e-06,1.018e-05,8.6e-06,9.38e-06
M:26 N:16,9.22e-06,1.065e-05,8.82e-06,9.66e-06
M:26 N:17,9.73e-06,1.097e-05,9.12e-06,1.011e-05
M:26 N:18,1.061e-05,1.151e-05,9.48e-06,1.055e-05
M:26 N:19,1.051e-05,1.193e-05,9.76e-06,1.101e-05
M:26 N:20,1.083e-05,1.241e-05,1.019e-05,1.139e-05
M:26 N:21,1.121e-05,1.296e-05,1.073e-05,1.196e-05
M:26 N:22,1.303e-05,1.38e-05,1.114e-05,1.246e-05
M:26 N:23,1.196e-05,1.381e-05,1.167e-05,1.289e-05
M:26 N:24,1.306e-05,1.496e-05,1.204e-05,1.333e-05
M:26 N:25,1.298e-05,1.474e-05,1.23e-05,1.373e-05
M:26 N:26,1.466e-05,1.531e-05,1.325e-05,1.459e-05
M:27 N:1,2.43e-06,2.45e-06,2.51e-06,2.95e-06
M:27 N:2,3.04e-06,3.2e-06,2.95e-06,3.49e-06
M:27 N:3,3.45e-06,4.2e-06,3.35e-06,3.86e-06
M:27 N:4,3.91e-06,4.7e-06,3.88e-06,4.47e-06
M:27 N:5,4.45e-06,5.36e-06,4.24e-06,4.85e-06
M:27 N:6,4.88e-06,6e-06,5.39e-06,5.58e-06
M:27 N:7,5.23e-06,6.47e-06,5.18e-06,5.87e-06
M:27 N:8,5.87e-06,7.11e-06,5.55e-06,6.37e-06
M:27 N:9,6.17e-06,7.47e-06,5.93e-06,6.72e-06
M:27 N:10,6.78e-06,8.06e-06,6.42e-06,7.29e-06
M:27 N:11,7.58e-06,9.42e-06,7.06e-06,7.75e-06
M:27 N:12,7.67e-06,9.11e-06,7.27e-06,8.24e-06
M:27 N:13,9.52e-06,9.57e-06,7.72e-06,8.73e-06
M:27 N:14,8.56e-06,9.98e-06,8.13e-06,8.98e-06
M:27 N:15,9e-06,1.054e-05,9.02e-06,9.85e-06
M:27 N:16,9.54e-06,1.109e-05,8.95e-06,1.004e-05
M:27 N:17,9.88e-06,1.142e-05,9.21e-06,1.049e-05
M:27 N:18,1.132e-05,1.24e-05,1.01e-05,1.09e-05
M:27 N:19,1.082e-05,1.293e-05,1.051e-05,1.151e-05
M:27 N:20,1.35e-05,1.302e-05,1.078e-05,1.202e-05
M:27 N:21,1.228e-05,1.35e-05,1.101e-05,1.237e-05
M:27 N:22,1.305e-05,1.438e-05,1.16e-05,1.303e-05
M:27 N:23,1.245e-05,1.495e-05,1.205e-05,1.353e-05
M:27 N:24,1.357e-05,1.488e-05,1.253e-05,1.385e-05
M:27 N:25,1.357e-05,1.539e-05,1.309e-05,1.437e-05
M:27 N:26,1.543e-05,1.61e-05,1.364e-05,1.492e-05
M:27 N:27,1.465e-05,1.632e-05,1.37e-05,1.527e-05
M:28 N:1,2.69e-06,2.65e-06,2.7e-06,3.15e-06
M:28 N:2,3.22e-06,3.68e-06,3.26e-06,3.74e-06
M:28 N:3,3.74e-06,4.63e-06,3.67e-06,4.26e-06
M:28 N:4,4.32e-06,5.17e-06,4.36e-06,4.83e-06
M:28 N:5,4.84e-06,5.97e-06,4.71e-06,5.35e-06
